id,cuisine
18009,british
28583,british
41580,spanish
29752,cajun_creole
35687,italian
38527,british
19666,spanish
41217,chinese
28753,mexican
22659,british
21749,italian
44967,greek
42969,moroccan
44883,italian
20827,british
23196,brazilian
35387,british
33780,chinese
19001,mexican
16526,filipino
42455,japanese
47453,indian
42478,moroccan
11885,jamaican
16585,italian
29639,moroccan
26245,vietnamese
38516,korean
47520,italian
26212,italian
23696,mexican
14926,thai
13292,korean
27346,korean
1384,korean
15959,cajun_creole
42297,spanish
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,russian
12741,mexican
7050,greek
22437,greek
14760,spanish
10649,russian
48065,vietnamese
39931,korean
32935,greek
40142,vietnamese
19103,jamaican
38267,spanish
30512,italian
3324,chinese
26197,russian
384,japanese
47230,chinese
39748,cajun_creole
41038,british
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,cajun_creole
47234,chinese
24075,korean
46323,italian
22562,italian
11358,jamaican
9201,moroccan
38620,thai
47638,british
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,italian
20798,greek
24381,chinese
48178,spanish
45832,greek
27560,korean
23247,british
28975,russian
43230,greek
9126,italian
13021,cajun_creole
28194,chinese
25617,jamaican
36125,italian
16454,mexican
1607,chinese
38526,moroccan
18755,irish
12035,french
16047,greek
15419,italian
16971,indian
31459,british
27888,british
13900,spanish
12376,thai
1658,korean
29431,jamaican
22290,mexican
28464,italian
37953,korean
20814,chinese
35987,mexican
2329,italian
43237,filipino
30647,british
16675,italian
37722,moroccan
32438,korean
20287,thai
43296,moroccan
6237,greek
48560,korean
20810,mexican
34951,french
31850,filipino
47745,cajun_creole
37815,vietnamese
9872,italian
5592,greek
27411,vietnamese
39320,irish
40247,british
19792,mexican
40754,russian
14365,thai
14468,french
47563,greek
19611,moroccan
7163,mexican
43069,irish
27505,chinese
36500,chinese
25932,cajun_creole
817,greek
8471,british
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,cajun_creole
5892,italian
676,greek
47015,chinese
21891,spanish
14630,spanish
36195,korean
25981,mexican
39964,cajun_creole
28298,indian
31954,british
26620,brazilian
14932,british
47426,british
1038,jamaican
8077,british
37141,british
45447,russian
9624,mexican
45589,british
7265,spanish
31844,greek
13046,moroccan
9867,cajun_creole
29184,moroccan
34783,moroccan
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,greek
44516,chinese
18193,irish
46545,italian
9900,italian
14815,thai
39690,italian
22193,irish
11739,british
27311,korean
36920,indian
7861,japanese
29248,moroccan
43142,mexican
7574,cajun_creole
8610,mexican
989,greek
46926,mexican
40816,thai
39726,chinese
42229,british
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,cajun_creole
20484,vietnamese
26661,thai
47182,mexican
22528,british
3861,thai
1203,moroccan
45040,moroccan
33287,indian
10097,jamaican
42005,irish
12423,spanish
39613,moroccan
30276,brazilian
18686,mexican
3031,british
40093,greek
182,greek
46591,moroccan
4092,chinese
13722,southern_us
44575,spanish
14989,italian
13270,british
25529,italian
12140,indian
23127,mexican
13523,italian
41270,spanish
8362,thai
11735,greek
27935,italian
28198,mexican
37765,indian
33856,filipino
30198,greek
42521,british
21567,spanish
36995,greek
24967,thai
45002,jamaican
48925,mexican
36914,indian
2280,irish
14729,jamaican
4594,cajun_creole
2237,moroccan
45631,moroccan
2317,chinese
23079,filipino
29333,korean
48066,filipino
15737,jamaican
30580,jamaican
1119,french
46336,moroccan
5026,spanish
10749,jamaican
31020,jamaican
30805,russian
27653,filipino
35060,mexican
39174,greek
49509,russian
31784,british
31408,spanish
36029,chinese
11045,russian
6561,british
26992,british
31179,cajun_creole
35099,moroccan
11018,chinese
17930,mexican
21302,greek
46352,korean
25132,mexican
7010,cajun_creole
25850,southern_us
19601,mexican
7935,italian
34994,filipino
25113,italian
45523,moroccan
34977,filipino
7124,russian
27514,british
27178,mexican
47880,chinese
29197,british
16347,irish
20333,thai
29112,chinese
7510,italian
13897,southern_us
35699,moroccan
20520,mexican
38920,brazilian
21775,indian
37475,korean
40131,cajun_creole
1939,mexican
48268,cajun_creole
34815,russian
13797,moroccan
39063,chinese
29064,chinese
26896,spanish
29477,russian
3352,russian
4966,mexican
7316,russian
23879,mexican
16525,moroccan
32843,russian
39574,filipino
32737,jamaican
44788,filipino
28772,italian
34189,thai
33719,cajun_creole
25846,indian
1423,indian
4328,chinese
579,cajun_creole
5219,indian
2314,jamaican
31143,spanish
13409,korean
3281,greek
15804,filipino
40835,moroccan
39262,korean
37013,indian
14807,jamaican
47956,thai
2580,mexican
13720,italian
23008,korean
5951,indian
39312,russian
6176,irish
17617,indian
57,mexican
43422,indian
49403,british
44751,british
21865,jamaican
26584,jamaican
39355,korean
14038,brazilian
45396,jamaican
49715,mexican
41515,thai
30445,spanish
4090,moroccan
17207,thai
40376,british
19398,italian
22347,vietnamese
49671,mexican
40854,spanish
926,korean
47919,korean
20571,italian
18866,british
48742,thai
14577,moroccan
29481,italian
40996,italian
34470,moroccan
31147,mexican
35932,mexican
27221,italian
48301,greek
29925,korean
48640,thai
22873,brazilian
10565,cajun_creole
15509,cajun_creole
37569,british
13306,chinese
40474,italian
15182,brazilian
8609,korean
32168,japanese
1125,thai
25244,italian
46889,chinese
13841,filipino
47135,moroccan
29036,indian
43533,korean
41631,british
